MontoPagado;Interes;Plazo;Tipo;Mensualidad;MontoAsegurado;TipoPago;ModoPago;Fiador;Fiador2;OtroSeguro;Record;Edad;EstadoCivil;Salario;Fraude
5278371.24;17.25;490.3333333;Nacional;21150.76923;825681.8182;A;Tarjeta;No;No;No;R0;36.5;Soltero;0;No
1969777.7;17.25;490.3333333;Nacional;7780;310530.303;C;Tarjeta;No;No;No;R0;36.5;Soltero;0;No
5930922.46;17.25;489.3333333;Nacional;23174.61538;916590.9091;A;Tarjeta;No;No;No;R0;32.5;Soltero;0;No
5865450.08;17.25;490.3333333;Nacional;22903.07692;916590.9091;A;Tarjeta;No;No;No;R0;33.5;Soltero;0;No
12695162.16;17.25;490.3333333;Nacional;82417.30769;2007500;B;Tarjeta;Si;No;No;R0;33;Soltero;0;No
2736629.86;17.25;490;Nacional;13448.07692;431742.4242;A;Tarjeta;No;No;No;R0;32;Soltero;0;No
14392654.92;17.25;491.3333333;Nacional;92765.76923;2280227.273;B;Tarjeta;No;No;No;R0;41.5;Soltero;0;No
2930359.3;17.25;490.3333333;Nacional;14008.46154;462045.4545;A;Tarjeta;No;No;No;R0;32.5;Soltero;0;No
11516754.64;17.25;491.3333333;Nacional;40048.07692;1780227.273;A;Tarjeta;Si;Si;No;R0;35.5;Soltero;0;No
3912571.34;17.25;490.3333333;Nacional;16905.38462;613560.6061;A;Tarjeta;No;No;No;R0;32;Soltero;0;No
5890583.46;17.25;490.3333333;Nacional;40961.15385;916590.9091;B;Tarjeta;No;No;No;R0;39.5;Soltero;0;No
3922563.04;17.25;489.3333333;Nacional;16917.38462;613560.6061;A;Cajas;Si;No;No;R0;43.5;Soltero;0;No
4925829.1;17.25;491.6666667;Nacional;11850;765075.7576;C;Tarjeta;No;No;No;R0;39.5;Soltero;0;No
5510488.7;17.25;491.3333333;Nacional;21748.84615;855984.8485;A;Tarjeta;No;No;No;R0;34.5;Soltero;0;No
5754988.96;17.25;491.3333333;Nacional;40106.53846;916590.9091;B;Tarjeta;No;No;No;R0;35;Soltero;0;No
5332803.56;17.25;491.3333333;Nacional;12415.76923;825681.8182;C;Tarjeta;No;No;No;R0;36;Soltero;0;No
1362693.36;17.25;491.3333333;Nacional;9174.230769;219621.2121;A;Tarjeta;Si;No;No;R0;35.5;Soltero;0;No
4875882.42;17.25;491.3333333;Nacional;19907.30769;765075.7576;A;Tarjeta;No;No;Si;R2;34;Soltero;0;No
2016629.82;17.25;491.3333333;Nacional;11167.23846;321136.3636;A;Cajas;No;No;No;R0;33.5;Soltero;0;No
11687942.84;17.25;491.6666667;Nacional;40749.23077;1825681.818;A;Tarjeta;No;No;No;R0;34;Soltero;0;No
5265995.38;17.25;491.3333333;Nacional;21100;825681.8182;A;Tarjeta;No;No;No;R0;37;Soltero;0;No
